date_str,degrees_from_mean,id,longitude,latitude,location,max_temp,min_temp,station_name,type,serialid
1977-02-19,8.61,USC00103882,-113.5472,43.7186,POINT(-113.5472 43.7186),10.0,-12.8,GROUSE,Weak Hot,1
1977-02-19,10.74,USC00053951,-107.1097,37.7717,POINT(-107.1097 37.7717),11.1,-8.9,HERMIT 7 ESE,Weak Hot,2
1977-02-19,8.88,USC00429165,-111.4078,40.7908,POINT(-111.4078 40.7908),13.3,-10.6,WANSHIP DAM,Weak Hot,11
1977-02-19,8.34,USC00043578,-122.8647,38.4306,POINT(-122.8647 38.4306),25.0,3.3,GRATON,Weak Hot,101
1977-02-17,14.12,USC00394516,-99.8628,43.9072,POINT(-99.8628 43.9072),8.3,3.3,KENNEBEC,Weak Hot,1001
1977-01-15,-17.1,USC00322525,-98.4714,48.4239,POINT(-98.4714 48.4239),-27.8,-33.3,EDMORE 1NW,Weak Cold,10001
1964-09-09,10.13,USW00024015,-103.2167,40.1667,POINT(-103.2167 40.1667),35.0,12.8,AKRON WASHINGTON CO AP,Weak Hot,100001
2013-02-04,-3.85,VQW00011624,-64.8056,17.7028,POINT(-64.8056 17.7028),28.9,18.3,CHRISTIANSTED AP,Weak Cold,1000001
2013-02-04,8.65,USC00107264,-116.4992,48.9994,POINT(-116.4992 48.9994),3.3,2.8,PORTHILL,Weak Hot,1000002
2013-02-04,9.21,USC00049099,-116.0369,34.1281,POINT(-116.0369 34.1281),22.8,13.3,TWENTYNINE PALMS,Weak Hot,1000003
2013-02-04,-35.65,USC00053016,-108.0514,37.2308,POINT(-108.0514 37.2308),-10.6,-32.2,FT LEWIS,Strong Cold,1000004
2013-02-04,9.42,USC00244558,-114.2636,48.3042,POINT(-114.2636 48.3042),6.1,1.7,KALISPELL GLACIER AP,Weak Hot,1000005
2013-02-04,-15.25,USC00205816,-85.5033,46.3286,POINT(-85.5033 46.3286),-9.4,-28.3,NEWBERRY CORRECTIONAL FACILITY,Weak Cold,1000006
2013-02-04,7.75,USC00248809,-113.9847,48.5003,POINT(-113.9847 48.5003),4.4,0.6,WEST GLACIER,Weak Hot,1000007
2013-02-04,14.57,USC00240364,-112.3964,47.4931,POINT(-112.3964 47.4931),12.2,6.1,AUGUSTA,Weak Hot,1000008
2013-02-04,8.21,USC00240755,-114.0331,47.875,POINT(-114.0331 47.875),5.6,4.4,BIGFORK 13 S,Weak Hot,1000009
2013-02-05,-4.68,USC00046175,-117.8803,33.6025,POINT(-117.8803 33.6025),12.8,10.6,NEWPORT BEACH HARBOR,Weak Cold,1000010
1964-09-09,9.57,USC00148038,-101.7417,37.9928,POINT(-101.7417 37.9928),36.1,20.6,SYRACUSE 1NE,Weak Hot,100002
2013-02-05,7.57,USC00245740,-114.0911,46.9244,POINT(-114.0911 46.9244),6.7,1.7,MISSOULA 6 NW WFO,Weak Hot,1000011
2013-02-05,9.49,USC00417184,-97.4264,26.5578,POINT(-97.4264 26.5578),29.4,16.7,PORT MANSFIELD,Weak Hot,1000012
2013-02-05,8.69,USC00268761,-119.6483,39.3128,POINT(-119.6483 39.3128),11.1,5.6,VIRGINIA CITY,Weak Hot,1000013
2013-02-05,-7.17,USC00045064,-120.4514,34.6539,POINT(-120.4514 34.6539),11.7,8.9,LOMPOC,Weak Cold,1000014
2013-02-05,-12.01,USC00426708,-113.8858,39.6308,POINT(-113.8858 39.6308),-3.9,-12.8,PARTOUN,Weak Cold,1000015
2013-02-05,12.67,USC00245596,-107.8706,46.6006,POINT(-107.8706 46.6006),11.1,3.9,MELSTONE,Weak Hot,1000016
2013-02-05,6.15,USC00450872,-122.6828,47.5689,POINT(-122.6828 47.5689),11.7,7.8,BREMERTON,Weak Hot,1000017
2013-02-05,-5.53,USC00041758,-117.0858,32.64,POINT(-117.0858 32.64),13.3,10.6,CHULA VISTA,Weak Cold,1000018
2013-02-05,-3.93,USW00093115,-117.1167,32.5667,POINT(-117.1167 32.5667),13.9,11.7,IMPERIAL BEACH REAM FLD NAS,Weak Cold,1000019
2013-02-05,8.11,USW00012926,-97.2833,27.6833,POINT(-97.2833 27.6833),27.8,16.1,CORPUS CHRISTI NAS,Weak Hot,1000020
1964-09-09,-7.47,USC00046730,-120.6856,35.6278,POINT(-120.6856 35.6278),29.4,1.7,PASO ROBLES,Weak Cold,100003
2013-02-05,11.59,USC00250050,-99.8556,42.5522,POINT(-99.8556 42.5522),8.9,3.3,AINSWORTH,Weak Hot,1000021
2013-02-05,-12.26,USC00201299,-83.3919,43.4839,POINT(-83.3919 43.4839),-12.2,-19.4,CARO WWTP,Weak Cold,1000022
2013-02-05,-4.09,RQC00665097,-67.0722,18.0331,POINT(-67.0722 18.0331),29.4,12.2,LAJAS SUBSTN,Weak Cold,1000023
2013-02-05,9.38,USC00416792,-103.2061,29.3272,POINT(-103.2061 29.3272),22.8,13.3,PANTHER JUNCTION,Weak Hot,1000024
2013-02-05,-4.75,USC00046377,-117.395,33.2097,POINT(-117.395 33.2097),12.8,11.1,OCEANSIDE MARINA,Weak Cold,1000025
2013-02-05,10.12,USW00012924,-97.5108,27.7839,POINT(-97.5108 27.7839),31.1,14.4,CORPUS CHRISTI,Weak Hot,1000026
2013-02-05,10.86,USW00013911,-97.45,32.7667,POINT(-97.45 32.7667),19.4,14.4,FT WORTH NAS,Weak Hot,1000027
2013-02-05,11.71,USW00024032,-100.55,42.8783,POINT(-100.55 42.8783),10.0,1.1,VALENTINE MILLER FLD,Weak Hot,1000028
2013-02-05,6.93,USW00012935,-96.2536,28.7247,POINT(-96.2536 28.7247),25.6,14.4,PALACIOS MUNI AP,Weak Hot,1000029
2013-02-06,6.16,USC00454572,-120.675,47.5586,POINT(-120.675 47.5586),9.4,0.6,LEAVENWORTH 3 S,Weak Hot,1000030
1964-09-09,-5.31,USW00023273,-120.4486,34.8994,POINT(-120.4486 34.8994),21.7,6.1,SANTA MARIA PUBLIC AP,Weak Cold,100004
2013-02-06,9.54,USC00256200,-101.7206,41.1275,POINT(-101.7206 41.1275),12.8,0.6,OGALLALA,Weak Hot,1000031
2013-02-06,9.38,USC00417458,-97.8097,26.4819,POINT(-97.8097 26.4819),32.2,16.1,RAYMONDVILLE,Weak Hot,1000032
2013-02-06,12.21,USC00489615,-104.9492,42.1106,POINT(-104.9492 42.1106),10.6,5.0,WHEATLAND 4 N,Weak Hot,1000033
2013-02-06,8.18,USC00413340,-95.3808,28.9844,POINT(-95.3808 28.9844),26.7,17.2,FREEPORT 2 NW,Weak Hot,1000034
2013-02-06,10.26,USC00414810,-97.8497,27.5311,POINT(-97.8497 27.5311),32.2,15.6,KINGSVILLE,Weak Hot,1000035
2013-02-06,12.87,USC00506870,-149.0992,61.5889,POINT(-149.0992 61.5889),10.6,-5.6,PALMER JOB CORPS,Weak Hot,1000036
2013-02-06,10.19,USW00024030,-102.9847,41.1014,POINT(-102.9847 41.1014),15.6,1.1,SIDNEY MUNI AP,Weak Hot,1000037
2013-02-06,9.45,USC00413943,-97.6728,26.2028,POINT(-97.6728 26.2028),31.7,18.9,HARLINGEN,Weak Hot,1000038
2013-02-06,10.84,USW00024023,-100.6694,41.1214,POINT(-100.6694 41.1214),14.4,1.1,NORTH PLATTE RGNL AP,Weak Hot,1000039
2013-02-06,14.61,USC00028162,-109.275,34.1311,POINT(-109.275 34.1311),12.2,7.2,SPRINGERVILLE,Weak Hot,1000040
1964-09-09,9.7,USC00200032,-84.0158,41.9164,POINT(-84.0158 41.9164),33.3,17.2,ADRIAN 2 NNE,Weak Hot,100005
2013-02-06,10.86,USW00013911,-97.45,32.7667,POINT(-97.45 32.7667),25.0,14.4,FT WORTH NAS,Weak Hot,1000041
2013-02-06,9.23,USC00410257,-95.4592,29.1572,POINT(-95.4592 29.1572),27.8,18.3,ANGLETON 2 W,Weak Hot,1000042
